,GMM_XGB
0,0.0005267146625556052
1,0.0005813989555463195
2,0.009158743545413017
3,0.019319942221045494
4,0.009342813864350319
5,0.008420484140515327
6,0.006912403739988804
7,0.01644834317266941
8,0.011441611684858799
9,0.004262587055563927
10,0.0010462013306096196
11,0.0014233404072001576
12,0.000943192804697901
13,0.0004246240423526615
14,0.000601212668698281
15,0.0004301884910091758
16,0.0002793258463498205
17,0.00029072383767925203
18,0.0003155102313030511
19,0.0007712208898738027
20,0.0003180077765136957
21,0.0035709296353161335
22,0.025676188990473747
23,0.033445488661527634
24,0.0034612049348652363
25,0.0005472967750392854
26,0.002731341402977705
27,0.00016475132724735886
28,0.0055865636095404625
29,0.0004028989642392844
