,REF
0,11.326293647289276
1,10.642361640930176
2,21.8946173787117
3,36.60045266151428
4,29.401317238807678
5,22.16639816761017
6,16.726668179035187
7,27.964729070663452
8,29.128724336624146
9,6.780602782964706
10,1.9698265939950943
11,3.4144431352615356
12,6.234552338719368
13,5.87446428835392
14,2.418224699795246
15,3.1053684651851654
16,4.065880551934242
17,1.5415026806294918
18,1.9171761348843575
19,2.304699644446373
20,1.2344248592853546
21,1.429007202386856
22,9.666775166988373
23,11.576760560274124
24,1.4209532178938389
25,1.3132540509104729
26,6.366047263145447
27,0.9514999575912952
28,2.2071009501814842
29,1.3415675610303879
