,REF
0,0.013224179856479168
1,0.011989353224635124
2,0.048672281205654144
3,0.13501125574111938
4,0.08759588748216629
5,0.0606907419860363
6,0.02870265580713749
7,0.07982909679412842
8,0.0858602374792099
9,0.006983572151511908
10,0.0006598684703931212
11,0.0016910051926970482
12,0.004164500627666712
13,0.004920168314129114
14,0.0007873430149629712
15,0.001893876469694078
16,0.001883343094959855
17,0.0003298368537798524
18,0.0005195086705498397
19,0.0007756639388389885
20,0.0002810494042932987
21,0.00034894314012490213
22,0.013122771866619587
23,0.01428817305713892
24,0.0002860807871911675
25,0.0003529901441652328
26,0.004842130932956934
27,0.0001497804041719064
28,0.0005977980326861143
29,0.0002807442797347903
