,XGB
0,0.0006497598951682448
1,0.00046399119310081005
2,0.012230069376528263
3,0.01677100919187069
4,0.01872711256146431
5,0.006805078592151403
6,0.004257536493241787
7,0.012987412512302399
8,0.012523260898888111
9,0.0011425248812884092
10,0.0006063203327357769
11,0.0007325303158722818
12,0.0007063798257149756
13,0.00045783381210640073
14,0.0005082185962237418
15,0.0005184684996493161
16,0.0004432208661455661
17,0.000163879114552401
18,0.0028218780644237995
19,0.0008219929877668619
20,0.0003372959326952696
21,0.0037862032186239958
22,0.01990114524960518
23,0.02597489394247532
24,0.0034723493736237288
25,0.00048093366785906255
26,0.0013296067481860518
27,0.0001553986658109352
28,0.006085780914872885
29,0.0002508700708858669
30,0.0004579053202178329
31,0.0008386688423343003
32,0.007430166006088257
33,0.03808893635869026
34,0.011990311555564404
35,0.007954295724630356
36,0.002903620945289731
37,0.011983335949480534
38,0.00991908274590969
39,0.0008391052251681685
40,0.0005447844159789383
41,0.0008254864951595664
42,0.0006152662099339068
43,0.00048592197708785534
44,0.0005542897852137685
45,0.0004076953628100455
46,0.0004200257535558194
47,0.00016869910177774727
48,0.0006079904269427061
49,0.0005060245166532695
50,0.00022910530969966203
51,0.0033757369965314865
52,0.012377222068607807
53,0.0254629198461771
54,0.0003840733552351594
55,0.0004717579286079854
56,0.0004030886047985405
57,0.00022845124476589262
58,0.005479901563376188
59,0.00025656208163127303
